iter	Logloss
0	0.6842047025
1	0.6735310201
2	0.6635293167
3	0.6542444776
4	0.645952422
5	0.6371308771
6	0.6295921319
7	0.6233818574
8	0.6162667242
9	0.6091268309
10	0.6025624408
11	0.5965305873
12	0.5898447145
13	0.5839887857
14	0.5792204007
15	0.5741458677
16	0.5691118018
17	0.5639483282
18	0.5592096448
19	0.5550568737
20	0.5512520167
21	0.5479113432
22	0.5435874661
23	0.5402394906
24	0.5370549872
25	0.5342512486
26	0.5317026131
27	0.5284074346
28	0.5250126296
29	0.5220905882
30	0.5192596872
31	0.5170928352
32	0.5141289173
33	0.5117792949
34	0.5089512202
35	0.5067165614
36	0.5048448197
37	0.5029413767
38	0.5011281019
39	0.4994687256
40	0.4979097558
41	0.4961431924
42	0.4941040452
43	0.4920876363
44	0.4908745554
45	0.4889312379
46	0.4874143716
47	0.4860178475
48	0.4846237389
49	0.4829487384
50	0.4814895537
51	0.4799990113
52	0.478540235
53	0.4772926583
54	0.4761707573
55	0.474835796
56	0.4737825033
57	0.472391861
58	0.4711204997
59	0.4702901327
60	0.4692415314
61	0.4682171285
62	0.4675444214
63	0.4665728917
64	0.4655839678
65	0.464913451
66	0.464284311
67	0.4634684853
68	0.462559319
69	0.4618177956
70	0.4609991736
71	0.4599905468
72	0.4596871453
73	0.4591140531
74	0.4585909799
75	0.458002416
76	0.4574347487
77	0.4569971789
78	0.4565142302
79	0.4559476896
80	0.4553358258
81	0.4547261639
82	0.4541889371
83	0.4536407047
84	0.4529618698
85	0.4525891935
86	0.4520689787
87	0.4513905939
88	0.4508919039
89	0.4504659512
90	0.4499254489
91	0.4494722561
92	0.4491356552
93	0.4487601954
94	0.4484127823
95	0.4479362097
96	0.4475600948
97	0.4471025192
98	0.44666489
99	0.4463290157
100	0.4460270768
101	0.445608645
102	0.4451893025
103	0.4448739953
104	0.4446323011
105	0.4442640173
106	0.4436576258
107	0.4432924132
108	0.443113155
109	0.4428447933
110	0.4424131388
111	0.4420328881
112	0.4417823587
113	0.4415275583
114	0.4411978064
115	0.4408717491
116	0.4405364974
117	0.4402288961
118	0.4399369323
119	0.4397143226
120	0.4394206182
121	0.4392045701
122	0.4388342755
123	0.4385546207
124	0.4382812594
125	0.437894412
126	0.4377009764
127	0.43734692
128	0.4370871566
129	0.4368195583
130	0.4366039432
131	0.4363589312
132	0.4361082754
133	0.4359186858
134	0.4356198991
135	0.4353407467
136	0.4351425359
137	0.4349355953
138	0.4347785083
139	0.4346094144
140	0.4343938441
141	0.434201236
142	0.4339903735
143	0.4336576139
144	0.4334200779
145	0.4332526817
146	0.433048468
147	0.4329288427
148	0.4326373941
149	0.4325062083
150	0.4323020611
151	0.4321090304
152	0.4318558725
153	0.431690135
154	0.4315033792
155	0.4312879465
156	0.4311088776
157	0.4309464223
158	0.4307762434
159	0.4306109017
160	0.4303972167
161	0.4301690774
162	0.4299832245
163	0.4298195426
164	0.4296676419
165	0.4293830932
166	0.4291554311
167	0.4290015085
168	0.428885744
169	0.4287362991
170	0.4284590075
171	0.4282384945
172	0.4280926952
173	0.427949478
174	0.4277969461
175	0.4276957023
176	0.4275386354
177	0.4273123478
178	0.4271813676
179	0.4270673281
180	0.4269412604
181	0.4267901642
182	0.4266044422
183	0.4264739011
184	0.4263887028
185	0.4260927049
186	0.4259892585
187	0.4258125523
188	0.4256863863
189	0.4255507021
190	0.4253930568
191	0.4252414929
192	0.4251021184
193	0.4249668649
194	0.4248286755
195	0.4246965716
196	0.4245230514
197	0.424375135
198	0.4242318857
199	0.424092112
200	0.4238970299
201	0.4237232341
202	0.4235944909
203	0.4234232072
204	0.4233520281
205	0.4232051835
206	0.4231365735
207	0.4229974545
208	0.4229092247
209	0.4227980875
210	0.4227127815
211	0.4225960557
212	0.4224407307
213	0.4223154001
214	0.4221784308
215	0.4220959776
216	0.4220260495
217	0.4218855526
218	0.4217818938
219	0.4216082988
220	0.4214786342
221	0.4213731741
222	0.4212624063
223	0.4210773016
224	0.4209908424
225	0.4208883568
226	0.4207584475
227	0.4206992829
228	0.4205740882
229	0.4204479043
230	0.4203605151
231	0.4202810738
232	0.4201840319
233	0.4201050839
234	0.4199461481
235	0.4198689865
236	0.4197592707
237	0.419563976
238	0.4194207646
239	0.419268277
240	0.4190784706
241	0.4189742248
242	0.4189131361
243	0.4187918895
244	0.4187053697
245	0.4185804667
246	0.4184786111
247	0.4183407597
248	0.4181512992
249	0.4180196678
250	0.4179146059
251	0.41781904
252	0.4177210607
253	0.4176299713
254	0.4175109539
255	0.4174375893
256	0.4172180396
257	0.4171230116
258	0.4170246488
259	0.4169355119
260	0.4168505762
261	0.4166851789
262	0.4165860264
263	0.4164408204
264	0.4163409911
265	0.4162606221
266	0.4161798406
267	0.4160953986
268	0.4159184012
269	0.4158531381
270	0.4156988231
271	0.4155820646
272	0.4153466051
273	0.4152668979
274	0.415213631
275	0.4151167688
276	0.4148905055
277	0.414775703
278	0.4146611323
279	0.4145778522
280	0.4144923492
281	0.4143981106
282	0.4142300283
283	0.4141350584
284	0.4140089389
285	0.4139113059
286	0.4137938675
287	0.4136241601
288	0.4134812614
289	0.4133643868
290	0.4132696363
