iter	Passed	Remaining
0	169	169251
1	172	86022
2	175	58209
3	178	44372
4	181	36028
5	184	30488
6	187	26569
7	190	23638
8	193	21349
9	196	19493
10	199	17967
11	202	16690
12	205	15628
13	208	14696
14	211	13870
15	214	13174
16	216	12541
17	219	11981
18	222	11492
19	225	11032
20	227	10624
21	230	10249
22	233	9898
23	235	9575
24	238	9284
25	240	9021
26	243	8776
27	246	8550
28	249	8342
29	251	8137
30	254	7953
31	257	7783
32	260	7620
33	263	7486
34	266	7348
35	269	7217
36	272	7092
37	275	6977
38	278	6871
39	281	6759
40	284	6656
41	287	6557
42	290	6464
43	293	6374
44	296	6286
45	299	6201
46	301	6119
47	304	6043
48	308	5984
49	311	5914
50	314	5844
51	317	5782
52	320	5723
53	322	5657
54	325	5593
55	328	5532
56	330	5473
57	333	5416
58	336	5370
59	339	5320
60	342	5272
61	345	5228
62	348	5184
63	352	5154
64	355	5120
65	359	5083
66	362	5045
67	365	5007
68	368	4978
69	372	4945
70	375	4909
71	378	4874
72	380	4833
73	383	4796
74	386	4762
75	388	4727
76	391	4693
77	394	4662
78	397	4629
79	399	4598
80	402	4566
81	405	4536
82	407	4506
83	410	4478
84	413	4449
85	416	4422
86	418	4394
87	421	4368
88	424	4343
89	427	4317
90	429	4292
91	432	4268
92	435	4243
93	438	4222
94	440	4200
95	443	4178
96	446	4157
97	449	4134
98	451	4113
99	454	4092
100	457	4073
101	460	4054
102	463	4034
103	466	4015
104	468	3996
105	471	3978
106	474	3960
107	477	3943
108	480	3926
109	483	3909
110	485	3892
111	488	3876
112	491	3858
113	494	3841
114	497	3826
115	499	3809
116	502	3793
117	505	3777
118	508	3761
119	510	3745
120	513	3730
121	516	3715
122	519	3701
123	521	3686
124	524	3671
125	527	3657
126	530	3645
127	533	3633
128	536	3624
129	540	3614
130	543	3606
131	546	3594
132	550	3587
133	553	3580
134	557	3571
135	561	3564
136	564	3555
137	567	3544
138	570	3534
139	573	3524
140	576	3512
141	579	3501
142	582	3493
143	586	3484
144	590	3479
145	593	3469
146	596	3459
